ULLIG;KOMMUNEDK;TID;INDHOLD
70 Gini coefficient;000 All Denmark;2016 2016;28.97
70 Gini coefficient;101 Copenhagen;2016 2016;33.24
70 Gini coefficient;147 Frederiksberg;2016 2016;34.85
70 Gini coefficient;151 Ballerup;2016 2016;25.77
70 Gini coefficient;153 Brøndby;2016 2016;25.71
70 Gini coefficient;155 Dragør;2016 2016;28.08
70 Gini coefficient;157 Gentofte;2016 2016;45.02
70 Gini coefficient;159 Gladsaxe;2016 2016;28.72
70 Gini coefficient;161 Glostrup;2016 2016;25.76
70 Gini coefficient;163 Herlev;2016 2016;25.71
70 Gini coefficient;165 Albertslund;2016 2016;25.68
70 Gini coefficient;167 Hvidovre;2016 2016;25.10
70 Gini coefficient;169 Høje-Taastrup;2016 2016;25.79
70 Gini coefficient;173 Lyngby-Taarbæk;2016 2016;35.96
70 Gini coefficient;175 Rødovre;2016 2016;25.55
70 Gini coefficient;183 Ishøj;2016 2016;25.07
70 Gini coefficient;185 Tårnby;2016 2016;23.66
70 Gini coefficient;187 Vallensbæk;2016 2016;24.64
70 Gini coefficient;190 Furesø;2016 2016;29.56
70 Gini coefficient;201 Allerød;2016 2016;25.38
70 Gini coefficient;210 Fredensborg;2016 2016;32.48
70 Gini coefficient;217 Helsingør;2016 2016;29.22
70 Gini coefficient;219 Hillerød;2016 2016;26.58
70 Gini coefficient;223 Hørsholm;2016 2016;38.27
70 Gini coefficient;230 Rudersdal;2016 2016;42.63
70 Gini coefficient;240 Egedal;2016 2016;22.64
70 Gini coefficient;250 Frederikssund;2016 2016;24.46
70 Gini coefficient;253 Greve;2016 2016;25.36
70 Gini coefficient;259 Køge;2016 2016;25.08
70 Gini coefficient;260 Halsnæs;2016 2016;22.85
70 Gini coefficient;265 Roskilde;2016 2016;28.94
70 Gini coefficient;269 Solrød;2016 2016;27.49
70 Gini coefficient;270 Gribskov;2016 2016;25.52
70 Gini coefficient;306 Odsherred;2016 2016;23.56
70 Gini coefficient;316 Holbæk;2016 2016;25.36
70 Gini coefficient;320 Faxe;2016 2016;23.78
70 Gini coefficient;326 Kalundborg;2016 2016;25.17
70 Gini coefficient;329 Ringsted;2016 2016;24.82
70 Gini coefficient;330 Slagelse;2016 2016;25.10
70 Gini coefficient;336 Stevns;2016 2016;24.18
70 Gini coefficient;340 Sorø;2016 2016;24.37
70 Gini coefficient;350 Lejre;2016 2016;24.87
70 Gini coefficient;360 Lolland;2016 2016;25.86
70 Gini coefficient;370 Næstved;2016 2016;24.91
70 Gini coefficient;376 Guldborgsund;2016 2016;24.90
70 Gini coefficient;390 Vordingborg;2016 2016;25.43
70 Gini coefficient;400 Bornholm;2016 2016;23.39
70 Gini coefficient;410 Middelfart;2016 2016;25.56
70 Gini coefficient;420 Assens;2016 2016;23.96
70 Gini coefficient;430 Faaborg-Midtfyn;2016 2016;24.58
70 Gini coefficient;440 Kerteminde;2016 2016;26.79
70 Gini coefficient;450 Nyborg;2016 2016;23.68
70 Gini coefficient;461 Odense;2016 2016;28.28
70 Gini coefficient;479 Svendborg;2016 2016;26.62
70 Gini coefficient;480 Nordfyns;2016 2016;23.37
70 Gini coefficient;482 Langeland;2016 2016;22.77
70 Gini coefficient;492 Ærø;2016 2016;26.35
70 Gini coefficient;510 Haderslev;2016 2016;25.54
70 Gini coefficient;530 Billund;2016 2016;25.77
70 Gini coefficient;540 Sønderborg;2016 2016;25.45
70 Gini coefficient;550 Tønder;2016 2016;25.21
70 Gini coefficient;561 Esbjerg;2016 2016;26.69
70 Gini coefficient;563 Fanø;2016 2016;25.49
70 Gini coefficient;573 Varde;2016 2016;25.12
70 Gini coefficient;575 Vejen;2016 2016;25.40
70 Gini coefficient;580 Aabenraa;2016 2016;25.38
70 Gini coefficient;607 Fredericia;2016 2016;27.22
70 Gini coefficient;615 Horsens;2016 2016;25.89
70 Gini coefficient;621 Kolding;2016 2016;26.61
70 Gini coefficient;630 Vejle;2016 2016;26.32
70 Gini coefficient;657 Herning;2016 2016;25.65
70 Gini coefficient;661 Holstebro;2016 2016;26.07
70 Gini coefficient;665 Lemvig;2016 2016;30.29
70 Gini coefficient;671 Struer;2016 2016;24.75
70 Gini coefficient;706 Syddjurs;2016 2016;25.41
70 Gini coefficient;707 Norddjurs;2016 2016;24.23
70 Gini coefficient;710 Favrskov;2016 2016;23.17
70 Gini coefficient;727 Odder;2016 2016;23.97
70 Gini coefficient;730 Randers;2016 2016;24.65
70 Gini coefficient;740 Silkeborg;2016 2016;27.25
70 Gini coefficient;741 Samsø;2016 2016;31.30
70 Gini coefficient;746 Skanderborg;2016 2016;24.16
70 Gini coefficient;751 Aarhus;2016 2016;31.94
70 Gini coefficient;756 Ikast-Brande;2016 2016;24.28
70 Gini coefficient;760 Ringkøbing-Skjern;2016 2016;25.65
70 Gini coefficient;766 Hedensted;2016 2016;23.46
70 Gini coefficient;773 Morsø;2016 2016;23.88
70 Gini coefficient;779 Skive;2016 2016;23.70
70 Gini coefficient;787 Thisted;2016 2016;24.95
70 Gini coefficient;791 Viborg;2016 2016;25.05
70 Gini coefficient;810 Brønderslev;2016 2016;26.40
70 Gini coefficient;813 Frederikshavn;2016 2016;24.72
70 Gini coefficient;820 Vesthimmerlands;2016 2016;23.94
70 Gini coefficient;825 Læsø;2016 2016;22.50
70 Gini coefficient;840 Rebild;2016 2016;24.33
70 Gini coefficient;846 Mariagerfjord;2016 2016;24.15
70 Gini coefficient;849 Jammerbugt;2016 2016;24.43
70 Gini coefficient;851 Aalborg;2016 2016;28.05
70 Gini coefficient;860 Hjørring;2016 2016;26.14
71 Hoover index;000 All Denmark;2016 2016;19.85
71 Hoover index;101 Copenhagen;2016 2016;23.12
71 Hoover index;147 Frederiksberg;2016 2016;24.12
71 Hoover index;151 Ballerup;2016 2016;18.28
71 Hoover index;153 Brøndby;2016 2016;18.17
71 Hoover index;155 Dragør;2016 2016;18.99
71 Hoover index;157 Gentofte;2016 2016;31.15
71 Hoover index;159 Gladsaxe;2016 2016;20.27
71 Hoover index;161 Glostrup;2016 2016;18.14
71 Hoover index;163 Herlev;2016 2016;18.11
71 Hoover index;165 Albertslund;2016 2016;18.04
71 Hoover index;167 Hvidovre;2016 2016;17.63
71 Hoover index;169 Høje-Taastrup;2016 2016;18.07
71 Hoover index;173 Lyngby-Taarbæk;2016 2016;24.69
71 Hoover index;175 Rødovre;2016 2016;18.05
71 Hoover index;183 Ishøj;2016 2016;17.54
71 Hoover index;185 Tårnby;2016 2016;16.49
71 Hoover index;187 Vallensbæk;2016 2016;16.98
71 Hoover index;190 Furesø;2016 2016;20.38
71 Hoover index;201 Allerød;2016 2016;17.35
71 Hoover index;210 Fredensborg;2016 2016;22.15
71 Hoover index;217 Helsingør;2016 2016;20.16
71 Hoover index;219 Hillerød;2016 2016;18.31
71 Hoover index;223 Hørsholm;2016 2016;26.33
71 Hoover index;230 Rudersdal;2016 2016;29.11
71 Hoover index;240 Egedal;2016 2016;15.50
71 Hoover index;250 Frederikssund;2016 2016;16.99
71 Hoover index;253 Greve;2016 2016;17.50
71 Hoover index;259 Køge;2016 2016;17.42
71 Hoover index;260 Halsnæs;2016 2016;15.79
71 Hoover index;265 Roskilde;2016 2016;19.77
71 Hoover index;269 Solrød;2016 2016;18.61
71 Hoover index;270 Gribskov;2016 2016;17.48
71 Hoover index;306 Odsherred;2016 2016;16.35
71 Hoover index;316 Holbæk;2016 2016;17.49
71 Hoover index;320 Faxe;2016 2016;16.41
71 Hoover index;326 Kalundborg;2016 2016;17.45
71 Hoover index;329 Ringsted;2016 2016;17.16
71 Hoover index;330 Slagelse;2016 2016;17.49
71 Hoover index;336 Stevns;2016 2016;16.65
71 Hoover index;340 Sorø;2016 2016;16.90
71 Hoover index;350 Lejre;2016 2016;16.94
71 Hoover index;360 Lolland;2016 2016;17.57
71 Hoover index;370 Næstved;2016 2016;17.26
71 Hoover index;376 Guldborgsund;2016 2016;17.18
71 Hoover index;390 Vordingborg;2016 2016;17.46
71 Hoover index;400 Bornholm;2016 2016;16.02
71 Hoover index;410 Middelfart;2016 2016;17.38
71 Hoover index;420 Assens;2016 2016;16.46
71 Hoover index;430 Faaborg-Midtfyn;2016 2016;16.65
71 Hoover index;440 Kerteminde;2016 2016;18.17
71 Hoover index;450 Nyborg;2016 2016;16.34
71 Hoover index;461 Odense;2016 2016;19.67
71 Hoover index;479 Svendborg;2016 2016;18.37
71 Hoover index;480 Nordfyns;2016 2016;16.00
71 Hoover index;482 Langeland;2016 2016;15.82
71 Hoover index;492 Ærø;2016 2016;18.03
71 Hoover index;510 Haderslev;2016 2016;17.38
71 Hoover index;530 Billund;2016 2016;17.41
71 Hoover index;540 Sønderborg;2016 2016;17.57
71 Hoover index;550 Tønder;2016 2016;17.08
71 Hoover index;561 Esbjerg;2016 2016;18.32
71 Hoover index;563 Fanø;2016 2016;17.60
71 Hoover index;573 Varde;2016 2016;16.93
71 Hoover index;575 Vejen;2016 2016;17.14
71 Hoover index;580 Aabenraa;2016 2016;17.42
71 Hoover index;607 Fredericia;2016 2016;18.69
71 Hoover index;615 Horsens;2016 2016;17.74
71 Hoover index;621 Kolding;2016 2016;18.27
71 Hoover index;630 Vejle;2016 2016;18.06
71 Hoover index;657 Herning;2016 2016;17.41
71 Hoover index;661 Holstebro;2016 2016;17.56
71 Hoover index;665 Lemvig;2016 2016;19.91
71 Hoover index;671 Struer;2016 2016;16.87
71 Hoover index;706 Syddjurs;2016 2016;17.27
71 Hoover index;707 Norddjurs;2016 2016;16.68
71 Hoover index;710 Favrskov;2016 2016;15.82
71 Hoover index;727 Odder;2016 2016;16.42
71 Hoover index;730 Randers;2016 2016;17.01
71 Hoover index;740 Silkeborg;2016 2016;18.52
71 Hoover index;741 Samsø;2016 2016;20.15
71 Hoover index;746 Skanderborg;2016 2016;16.47
71 Hoover index;751 Aarhus;2016 2016;22.17
71 Hoover index;756 Ikast-Brande;2016 2016;16.54
71 Hoover index;760 Ringkøbing-Skjern;2016 2016;17.18
71 Hoover index;766 Hedensted;2016 2016;16.02
71 Hoover index;773 Morsø;2016 2016;16.37
71 Hoover index;779 Skive;2016 2016;16.24
71 Hoover index;787 Thisted;2016 2016;16.94
71 Hoover index;791 Viborg;2016 2016;17.04
71 Hoover index;810 Brønderslev;2016 2016;17.64
71 Hoover index;813 Frederikshavn;2016 2016;16.99
71 Hoover index;820 Vesthimmerlands;2016 2016;16.41
71 Hoover index;825 Læsø;2016 2016;15.54
71 Hoover index;840 Rebild;2016 2016;16.61
71 Hoover index;846 Mariagerfjord;2016 2016;16.62
71 Hoover index;849 Jammerbugt;2016 2016;16.53
71 Hoover index;851 Aalborg;2016 2016;19.29
71 Hoover index;860 Hjørring;2016 2016;17.70
72 S80/S20 (Income quintile share ratio);000 All Denmark;2016 2016;4.46
72 S80/S20 (Income quintile share ratio);101 Copenhagen;2016 2016;5.93
72 S80/S20 (Income quintile share ratio);147 Frederiksberg;2016 2016;6.38
72 S80/S20 (Income quintile share ratio);151 Ballerup;2016 2016;3.70
72 S80/S20 (Income quintile share ratio);153 Brøndby;2016 2016;3.73
72 S80/S20 (Income quintile share ratio);155 Dragør;2016 2016;4.38
72 S80/S20 (Income quintile share ratio);157 Gentofte;2016 2016;10.65
72 S80/S20 (Income quintile share ratio);159 Gladsaxe;2016 2016;4.51
72 S80/S20 (Income quintile share ratio);161 Glostrup;2016 2016;3.82
72 S80/S20 (Income quintile share ratio);163 Herlev;2016 2016;3.72
72 S80/S20 (Income quintile share ratio);165 Albertslund;2016 2016;3.85
72 S80/S20 (Income quintile share ratio);167 Hvidovre;2016 2016;3.71
72 S80/S20 (Income quintile share ratio);169 Høje-Taastrup;2016 2016;3.85
72 S80/S20 (Income quintile share ratio);173 Lyngby-Taarbæk;2016 2016;6.60
72 S80/S20 (Income quintile share ratio);175 Rødovre;2016 2016;3.69
72 S80/S20 (Income quintile share ratio);183 Ishøj;2016 2016;3.65
72 S80/S20 (Income quintile share ratio);185 Tårnby;2016 2016;3.51
72 S80/S20 (Income quintile share ratio);187 Vallensbæk;2016 2016;3.68
72 S80/S20 (Income quintile share ratio);190 Furesø;2016 2016;4.71
72 S80/S20 (Income quintile share ratio);201 Allerød;2016 2016;3.79
72 S80/S20 (Income quintile share ratio);210 Fredensborg;2016 2016;5.11
72 S80/S20 (Income quintile share ratio);217 Helsingør;2016 2016;4.37
72 S80/S20 (Income quintile share ratio);219 Hillerød;2016 2016;3.99
72 S80/S20 (Income quintile share ratio);223 Hørsholm;2016 2016;7.18
72 S80/S20 (Income quintile share ratio);230 Rudersdal;2016 2016;8.74
72 S80/S20 (Income quintile share ratio);240 Egedal;2016 2016;3.25
72 S80/S20 (Income quintile share ratio);250 Frederikssund;2016 2016;3.49
72 S80/S20 (Income quintile share ratio);253 Greve;2016 2016;3.75
72 S80/S20 (Income quintile share ratio);259 Køge;2016 2016;3.63
72 S80/S20 (Income quintile share ratio);260 Halsnæs;2016 2016;3.23
72 S80/S20 (Income quintile share ratio);265 Roskilde;2016 2016;4.71
72 S80/S20 (Income quintile share ratio);269 Solrød;2016 2016;4.10
72 S80/S20 (Income quintile share ratio);270 Gribskov;2016 2016;3.74
72 S80/S20 (Income quintile share ratio);306 Odsherred;2016 2016;3.33
72 S80/S20 (Income quintile share ratio);316 Holbæk;2016 2016;3.73
72 S80/S20 (Income quintile share ratio);320 Faxe;2016 2016;3.44
72 S80/S20 (Income quintile share ratio);326 Kalundborg;2016 2016;3.67
72 S80/S20 (Income quintile share ratio);329 Ringsted;2016 2016;3.62
72 S80/S20 (Income quintile share ratio);330 Slagelse;2016 2016;3.69
72 S80/S20 (Income quintile share ratio);336 Stevns;2016 2016;3.47
72 S80/S20 (Income quintile share ratio);340 Sorø;2016 2016;3.49
72 S80/S20 (Income quintile share ratio);350 Lejre;2016 2016;3.59
72 S80/S20 (Income quintile share ratio);360 Lolland;2016 2016;3.74
72 S80/S20 (Income quintile share ratio);370 Næstved;2016 2016;3.63
72 S80/S20 (Income quintile share ratio);376 Guldborgsund;2016 2016;3.59
72 S80/S20 (Income quintile share ratio);390 Vordingborg;2016 2016;3.76
72 S80/S20 (Income quintile share ratio);400 Bornholm;2016 2016;3.24
72 S80/S20 (Income quintile share ratio);410 Middelfart;2016 2016;3.72
72 S80/S20 (Income quintile share ratio);420 Assens;2016 2016;3.37
72 S80/S20 (Income quintile share ratio);430 Faaborg-Midtfyn;2016 2016;3.65
72 S80/S20 (Income quintile share ratio);440 Kerteminde;2016 2016;3.79
72 S80/S20 (Income quintile share ratio);450 Nyborg;2016 2016;3.34
72 S80/S20 (Income quintile share ratio);461 Odense;2016 2016;4.44
72 S80/S20 (Income quintile share ratio);479 Svendborg;2016 2016;3.89
72 S80/S20 (Income quintile share ratio);480 Nordfyns;2016 2016;3.31
72 S80/S20 (Income quintile share ratio);482 Langeland;2016 2016;3.14
72 S80/S20 (Income quintile share ratio);492 Ærø;2016 2016;3.88
72 S80/S20 (Income quintile share ratio);510 Haderslev;2016 2016;3.78
72 S80/S20 (Income quintile share ratio);530 Billund;2016 2016;3.82
72 S80/S20 (Income quintile share ratio);540 Sønderborg;2016 2016;3.59
72 S80/S20 (Income quintile share ratio);550 Tønder;2016 2016;3.74
72 S80/S20 (Income quintile share ratio);561 Esbjerg;2016 2016;3.94
72 S80/S20 (Income quintile share ratio);563 Fanø;2016 2016;3.65
72 S80/S20 (Income quintile share ratio);573 Varde;2016 2016;3.77
72 S80/S20 (Income quintile share ratio);575 Vejen;2016 2016;3.75
72 S80/S20 (Income quintile share ratio);580 Aabenraa;2016 2016;3.65
72 S80/S20 (Income quintile share ratio);607 Fredericia;2016 2016;3.89
72 S80/S20 (Income quintile share ratio);615 Horsens;2016 2016;3.81
72 S80/S20 (Income quintile share ratio);621 Kolding;2016 2016;3.95
72 S80/S20 (Income quintile share ratio);630 Vejle;2016 2016;3.86
72 S80/S20 (Income quintile share ratio);657 Herning;2016 2016;3.77
72 S80/S20 (Income quintile share ratio);661 Holstebro;2016 2016;3.98
72 S80/S20 (Income quintile share ratio);665 Lemvig;2016 2016;4.86
72 S80/S20 (Income quintile share ratio);671 Struer;2016 2016;3.57
72 S80/S20 (Income quintile share ratio);706 Syddjurs;2016 2016;3.64
72 S80/S20 (Income quintile share ratio);707 Norddjurs;2016 2016;3.54
72 S80/S20 (Income quintile share ratio);710 Favrskov;2016 2016;3.30
72 S80/S20 (Income quintile share ratio);727 Odder;2016 2016;3.44
72 S80/S20 (Income quintile share ratio);730 Randers;2016 2016;3.56
72 S80/S20 (Income quintile share ratio);740 Silkeborg;2016 2016;3.94
72 S80/S20 (Income quintile share ratio);741 Samsø;2016 2016;6.18
72 S80/S20 (Income quintile share ratio);746 Skanderborg;2016 2016;3.45
72 S80/S20 (Income quintile share ratio);751 Aarhus;2016 2016;5.45
72 S80/S20 (Income quintile share ratio);756 Ikast-Brande;2016 2016;3.45
72 S80/S20 (Income quintile share ratio);760 Ringkøbing-Skjern;2016 2016;3.86
72 S80/S20 (Income quintile share ratio);766 Hedensted;2016 2016;3.31
72 S80/S20 (Income quintile share ratio);773 Morsø;2016 2016;3.36
72 S80/S20 (Income quintile share ratio);779 Skive;2016 2016;3.34
72 S80/S20 (Income quintile share ratio);787 Thisted;2016 2016;3.56
72 S80/S20 (Income quintile share ratio);791 Viborg;2016 2016;3.70
72 S80/S20 (Income quintile share ratio);810 Brønderslev;2016 2016;3.86
72 S80/S20 (Income quintile share ratio);813 Frederikshavn;2016 2016;3.49
72 S80/S20 (Income quintile share ratio);820 Vesthimmerlands;2016 2016;3.44
72 S80/S20 (Income quintile share ratio);825 Læsø;2016 2016;3.14
72 S80/S20 (Income quintile share ratio);840 Rebild;2016 2016;3.50
72 S80/S20 (Income quintile share ratio);846 Mariagerfjord;2016 2016;3.43
72 S80/S20 (Income quintile share ratio);849 Jammerbugt;2016 2016;3.61
72 S80/S20 (Income quintile share ratio);851 Aalborg;2016 2016;4.46
72 S80/S20 (Income quintile share ratio);860 Hjørring;2016 2016;3.86
73 P90/10 (Upper decile boundary divided by lower);000 All Denmark;2016 2016;3.24
73 P90/10 (Upper decile boundary divided by lower);101 Copenhagen;2016 2016;4.26
73 P90/10 (Upper decile boundary divided by lower);147 Frederiksberg;2016 2016;4.51
73 P90/10 (Upper decile boundary divided by lower);151 Ballerup;2016 2016;3.06
73 P90/10 (Upper decile boundary divided by lower);153 Brøndby;2016 2016;3.03
73 P90/10 (Upper decile boundary divided by lower);155 Dragør;2016 2016;3.27
73 P90/10 (Upper decile boundary divided by lower);157 Gentofte;2016 2016;5.76
73 P90/10 (Upper decile boundary divided by lower);159 Gladsaxe;2016 2016;3.61
73 P90/10 (Upper decile boundary divided by lower);161 Glostrup;2016 2016;3.12
73 P90/10 (Upper decile boundary divided by lower);163 Herlev;2016 2016;3.05
73 P90/10 (Upper decile boundary divided by lower);165 Albertslund;2016 2016;3.16
73 P90/10 (Upper decile boundary divided by lower);167 Hvidovre;2016 2016;3.06
73 P90/10 (Upper decile boundary divided by lower);169 Høje-Taastrup;2016 2016;3.17
73 P90/10 (Upper decile boundary divided by lower);173 Lyngby-Taarbæk;2016 2016;4.45
73 P90/10 (Upper decile boundary divided by lower);175 Rødovre;2016 2016;3.06
73 P90/10 (Upper decile boundary divided by lower);183 Ishøj;2016 2016;2.96
73 P90/10 (Upper decile boundary divided by lower);185 Tårnby;2016 2016;2.93
73 P90/10 (Upper decile boundary divided by lower);187 Vallensbæk;2016 2016;3.01
73 P90/10 (Upper decile boundary divided by lower);190 Furesø;2016 2016;3.62
73 P90/10 (Upper decile boundary divided by lower);201 Allerød;2016 2016;3.02
73 P90/10 (Upper decile boundary divided by lower);210 Fredensborg;2016 2016;3.44
73 P90/10 (Upper decile boundary divided by lower);217 Helsingør;2016 2016;3.25
73 P90/10 (Upper decile boundary divided by lower);219 Hillerød;2016 2016;3.14
73 P90/10 (Upper decile boundary divided by lower);223 Hørsholm;2016 2016;4.43
73 P90/10 (Upper decile boundary divided by lower);230 Rudersdal;2016 2016;4.68
73 P90/10 (Upper decile boundary divided by lower);240 Egedal;2016 2016;2.65
73 P90/10 (Upper decile boundary divided by lower);250 Frederikssund;2016 2016;2.84
73 P90/10 (Upper decile boundary divided by lower);253 Greve;2016 2016;2.99
73 P90/10 (Upper decile boundary divided by lower);259 Køge;2016 2016;2.91
73 P90/10 (Upper decile boundary divided by lower);260 Halsnæs;2016 2016;2.64
73 P90/10 (Upper decile boundary divided by lower);265 Roskilde;2016 2016;3.41
73 P90/10 (Upper decile boundary divided by lower);269 Solrød;2016 2016;2.98
73 P90/10 (Upper decile boundary divided by lower);270 Gribskov;2016 2016;2.87
73 P90/10 (Upper decile boundary divided by lower);306 Odsherred;2016 2016;2.66
73 P90/10 (Upper decile boundary divided by lower);316 Holbæk;2016 2016;2.90
73 P90/10 (Upper decile boundary divided by lower);320 Faxe;2016 2016;2.76
73 P90/10 (Upper decile boundary divided by lower);326 Kalundborg;2016 2016;2.88
73 P90/10 (Upper decile boundary divided by lower);329 Ringsted;2016 2016;2.87
73 P90/10 (Upper decile boundary divided by lower);330 Slagelse;2016 2016;2.97
73 P90/10 (Upper decile boundary divided by lower);336 Stevns;2016 2016;2.71
73 P90/10 (Upper decile boundary divided by lower);340 Sorø;2016 2016;2.81
73 P90/10 (Upper decile boundary divided by lower);350 Lejre;2016 2016;2.73
73 P90/10 (Upper decile boundary divided by lower);360 Lolland;2016 2016;2.59
73 P90/10 (Upper decile boundary divided by lower);370 Næstved;2016 2016;2.89
73 P90/10 (Upper decile boundary divided by lower);376 Guldborgsund;2016 2016;2.77
73 P90/10 (Upper decile boundary divided by lower);390 Vordingborg;2016 2016;2.81
73 P90/10 (Upper decile boundary divided by lower);400 Bornholm;2016 2016;2.46
73 P90/10 (Upper decile boundary divided by lower);410 Middelfart;2016 2016;2.68
73 P90/10 (Upper decile boundary divided by lower);420 Assens;2016 2016;2.59
73 P90/10 (Upper decile boundary divided by lower);430 Faaborg-Midtfyn;2016 2016;2.55
73 P90/10 (Upper decile boundary divided by lower);440 Kerteminde;2016 2016;2.67
73 P90/10 (Upper decile boundary divided by lower);450 Nyborg;2016 2016;2.64
73 P90/10 (Upper decile boundary divided by lower);461 Odense;2016 2016;3.54
73 P90/10 (Upper decile boundary divided by lower);479 Svendborg;2016 2016;3.01
73 P90/10 (Upper decile boundary divided by lower);480 Nordfyns;2016 2016;2.55
73 P90/10 (Upper decile boundary divided by lower);482 Langeland;2016 2016;2.50
73 P90/10 (Upper decile boundary divided by lower);492 Ærø;2016 2016;2.86
73 P90/10 (Upper decile boundary divided by lower);510 Haderslev;2016 2016;2.73
73 P90/10 (Upper decile boundary divided by lower);530 Billund;2016 2016;2.70
73 P90/10 (Upper decile boundary divided by lower);540 Sønderborg;2016 2016;2.78
73 P90/10 (Upper decile boundary divided by lower);550 Tønder;2016 2016;2.66
73 P90/10 (Upper decile boundary divided by lower);561 Esbjerg;2016 2016;2.96
73 P90/10 (Upper decile boundary divided by lower);563 Fanø;2016 2016;2.89
73 P90/10 (Upper decile boundary divided by lower);573 Varde;2016 2016;2.63
73 P90/10 (Upper decile boundary divided by lower);575 Vejen;2016 2016;2.62
73 P90/10 (Upper decile boundary divided by lower);580 Aabenraa;2016 2016;2.76
73 P90/10 (Upper decile boundary divided by lower);607 Fredericia;2016 2016;2.92
73 P90/10 (Upper decile boundary divided by lower);615 Horsens;2016 2016;2.91
73 P90/10 (Upper decile boundary divided by lower);621 Kolding;2016 2016;3.01
73 P90/10 (Upper decile boundary divided by lower);630 Vejle;2016 2016;2.93
73 P90/10 (Upper decile boundary divided by lower);657 Herning;2016 2016;2.80
73 P90/10 (Upper decile boundary divided by lower);661 Holstebro;2016 2016;2.79
73 P90/10 (Upper decile boundary divided by lower);665 Lemvig;2016 2016;2.62
73 P90/10 (Upper decile boundary divided by lower);671 Struer;2016 2016;2.63
73 P90/10 (Upper decile boundary divided by lower);706 Syddjurs;2016 2016;2.69
73 P90/10 (Upper decile boundary divided by lower);707 Norddjurs;2016 2016;2.76
73 P90/10 (Upper decile boundary divided by lower);710 Favrskov;2016 2016;2.58
73 P90/10 (Upper decile boundary divided by lower);727 Odder;2016 2016;2.70
73 P90/10 (Upper decile boundary divided by lower);730 Randers;2016 2016;2.80
73 P90/10 (Upper decile boundary divided by lower);740 Silkeborg;2016 2016;2.84
73 P90/10 (Upper decile boundary divided by lower);741 Samsø;2016 2016;2.55
73 P90/10 (Upper decile boundary divided by lower);746 Skanderborg;2016 2016;2.70
73 P90/10 (Upper decile boundary divided by lower);751 Aarhus;2016 2016;4.10
73 P90/10 (Upper decile boundary divided by lower);756 Ikast-Brande;2016 2016;2.58
73 P90/10 (Upper decile boundary divided by lower);760 Ringkøbing-Skjern;2016 2016;2.58
73 P90/10 (Upper decile boundary divided by lower);766 Hedensted;2016 2016;2.54
73 P90/10 (Upper decile boundary divided by lower);773 Morsø;2016 2016;2.55
73 P90/10 (Upper decile boundary divided by lower);779 Skive;2016 2016;2.57
73 P90/10 (Upper decile boundary divided by lower);787 Thisted;2016 2016;2.59
73 P90/10 (Upper decile boundary divided by lower);791 Viborg;2016 2016;2.75
73 P90/10 (Upper decile boundary divided by lower);810 Brønderslev;2016 2016;2.57
73 P90/10 (Upper decile boundary divided by lower);813 Frederikshavn;2016 2016;2.64
73 P90/10 (Upper decile boundary divided by lower);820 Vesthimmerlands;2016 2016;2.58
73 P90/10 (Upper decile boundary divided by lower);825 Læsø;2016 2016;2.41
73 P90/10 (Upper decile boundary divided by lower);840 Rebild;2016 2016;2.63
73 P90/10 (Upper decile boundary divided by lower);846 Mariagerfjord;2016 2016;2.65
73 P90/10 (Upper decile boundary divided by lower);849 Jammerbugt;2016 2016;2.59
73 P90/10 (Upper decile boundary divided by lower);851 Aalborg;2016 2016;3.44
73 P90/10 (Upper decile boundary divided by lower);860 Hjørring;2016 2016;2.72
70 Gini coefficient;000 All Denmark;1999 1999;23.83
70 Gini coefficient;101 Copenhagen;1999 1999;25.48
70 Gini coefficient;147 Frederiksberg;1999 1999;27.77
70 Gini coefficient;151 Ballerup;1999 1999;21.46
70 Gini coefficient;153 Brøndby;1999 1999;21.54
70 Gini coefficient;155 Dragør;1999 1999;22.82
70 Gini coefficient;157 Gentofte;1999 1999;34.22
70 Gini coefficient;159 Gladsaxe;1999 1999;22.81
70 Gini coefficient;161 Glostrup;1999 1999;21.11
70 Gini coefficient;163 Herlev;1999 1999;22.21
70 Gini coefficient;165 Albertslund;1999 1999;23.02
70 Gini coefficient;167 Hvidovre;1999 1999;20.96
70 Gini coefficient;169 Høje-Taastrup;1999 1999;21.92
70 Gini coefficient;173 Lyngby-Taarbæk;1999 1999;28.69
70 Gini coefficient;175 Rødovre;1999 1999;20.62
70 Gini coefficient;183 Ishøj;1999 1999;22.39
70 Gini coefficient;185 Tårnby;1999 1999;19.46
70 Gini coefficient;187 Vallensbæk;1999 1999;20.42
70 Gini coefficient;190 Furesø;1999 1999;25.11
70 Gini coefficient;201 Allerød;1999 1999;22.18
70 Gini coefficient;210 Fredensborg;1999 1999;25.70
70 Gini coefficient;217 Helsingør;1999 1999;24.82
70 Gini coefficient;219 Hillerød;1999 1999;22.90
70 Gini coefficient;223 Hørsholm;1999 1999;32.59
70 Gini coefficient;230 Rudersdal;1999 1999;35.68
70 Gini coefficient;240 Egedal;1999 1999;19.69
70 Gini coefficient;250 Frederikssund;1999 1999;21.27
70 Gini coefficient;253 Greve;1999 1999;21.88
70 Gini coefficient;259 Køge;1999 1999;21.30
70 Gini coefficient;260 Halsnæs;1999 1999;20.06
70 Gini coefficient;265 Roskilde;1999 1999;23.20
70 Gini coefficient;269 Solrød;1999 1999;21.51
